client_id,clip_applied,clip_factor,communication_compressed_bytes,communication_original_bytes,communication_precision,communication_reduction_percentage,communication_sparsification_enabled,communication_sparsity_ratio,noise_scale,num_samples,privacy_enabled,privacy_overhead_time,round_num,train_accuracy,train_loss,training_time,val_accuracy,val_loss
3,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,3.0994415283203125e-06,0,0.193,2.252464516321818,1.005202293395996,,
0,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,3.0994415283203125e-06,0,0.19166666666666668,2.2529529863993325,0.9444561004638672,,
8,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,0,0.19366666666666665,2.2587099704742433,0.9239177703857422,,
7,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,0,0.17433333333333334,2.253742167790731,0.927915096282959,,
16,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,0,0.18133333333333335,2.251695394515991,0.9416959285736084,,
4,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,3.0994415283203125e-06,1,0.354,2.026973006884257,0.9357540607452393,,
3,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,1,0.36533333333333334,2.0223589480717976,0.9387388229370117,,
17,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,1.9073486328125e-06,1,0.3596666666666667,2.011288139343262,0.926638126373291,,
2,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,1.9073486328125e-06,1,0.37833333333333335,2.013723074277242,0.9571008682250977,,
13,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.86102294921875e-06,1,0.37033333333333335,2.0201506808598837,0.9498112201690674,,
1,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,2,0.4846666666666667,1.5654683637619018,0.9313490390777588,,
0,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,1.9073486328125e-06,2,0.47933333333333333,1.5936953528722126,0.9326560497283936,,
2,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,1.6689300537109375e-06,2,0.4756666666666667,1.5902550369898478,0.9272632598876953,,
6,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,2,0.4723333333333333,1.5942624750137329,0.925980806350708,,
7,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.86102294921875e-06,2,0.48333333333333334,1.585171669960022,0.9292538166046143,,
16,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,3,0.555,1.3497777922948202,0.9331760406494141,,
0,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,3,0.536,1.3604387420018513,0.9351410865783691,,
17,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,1.9073486328125e-06,3,0.5393333333333333,1.3534204190572103,0.9284510612487793,,
6,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,1.9073486328125e-06,3,0.5463333333333333,1.3571330518722535,0.9372801780700684,,
13,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.6226043701171875e-06,3,0.5463333333333333,1.3404860382080077,0.9320371150970459,,
7,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,1.6689300537109375e-06,4,0.5916666666666667,1.2092203648885091,0.9356439113616943,,
14,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,3.0994415283203125e-06,4,0.5916666666666667,1.2122566226323446,0.9467921257019043,,
8,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,3.0994415283203125e-06,4,0.5846666666666667,1.234726055622101,0.951678991317749,,
0,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,3.0994415283203125e-06,4,0.5886666666666667,1.2503482157389323,0.9395346641540527,,
5,False,1.0,1686568.0,1686568.0,float16,0.0,True,0.3,0.0,3000,False,2.1457672119140625e-06,4,0.589,1.2356255968411765,0.9395091533660889,,
